Dealer,Company,FEIN,DNI,Peripherals,Service Name,Owner,Unit ID,Unit,Unit Type,Carrier,Monthly Fee,Billing Group,Billing Period,Last Srv Paid Until,Service Paid Until,Serial #,Phone Number,Sim Number,IMEI,Bill To,Status,Last Event,Assigned To Company,Last Event Date,Last Contact On,Last Event Address
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0DTL,SIMON 525,GenX 656BV,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003956357,5901007839477,8934076200000578341,354725060639246,,Active,Parked,10/23/2024 6:31:42 PM,11/14/2024 3:06:46 PM,11/14/2024 3:07:30 PM,"Rancho Seco-87, Metepec, Edo Mexico, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0DX4,20,GenX 656B,TELCEL MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003954722,5901000769376,8934072100260907806,359394056288800,,Active,Parked,4/4/2024 12:15:30 PM,4/29/2024 5:20:38 PM,4/29/2024 5:21:04 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0DXX,S30BKZ/ GABRIEL QUEC,GenX 656BV,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003956359,5901007881538,8934076200000578002,354725060633108,,Active,Crash Detected,5/31/2024 5:49:30 PM,5/25/2024 3:43:15 AM,5/25/2024 3:43:18 AM,897 Prolongación Petén
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0DYO,19,GenX 656BV,TELCEL MX UTS,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,000003844512,5901005496426,8934077200000972634,357852030608890,,Active,First Fix,4/4/2024 12:17:49 PM,4/26/2024 11:30:02 AM,4/26/2024 11:30:43 AM,"Juárez 146, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0GQZ,33,CalAmp 2631 - LTE - Ext Ant,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4674004435,5901012471294,8934076200002383591,356961072172912,,Active,Parked,4/25/2024 11:41:40 AM,4/25/2024 8:43:34 PM,4/25/2024 10:34:11 PM,"Av Benito Juarez-47, Carmen, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H00,ALDO MORALES,Queclink GV55W,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,864802030417525,5901008540448,8934075400008851507,864802030417525,,Active,Power OFF,6/12/2024 6:31:31 PM,6/12/2024 11:58:02 AM,6/12/2024 11:58:24 AM,364 Eje Metropolitano 30 Matehuala - Monterrey
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H0D,Fernando medina Torn,Queclink GV55W,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,864802030421279,5901019249833,8934076400011966556,864802030421279,,Active,Ping,6/12/2024 6:36:45 PM,10/2/2024 5:33:29 PM,10/2/2024 5:33:54 PM,"Lic Gustavo Diaz Ordaz, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H0X,0H0X,Queclink GV55W,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,864802030431609,5901008509111,8934075400008850301,864802030431609,,Active,Parked,5/31/2024 4:49:31 PM,5/27/2024 9:21:02 PM,5/27/2024 9:21:19 PM,140 Miguel Lerdo de Tejada
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H5T,20,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336268,5901007885995,8934076200000578986,35936909034092,,Active,Parked,9/7/2024 2:59:59 PM,9/1/2024 6:01:21 PM,9/1/2024 6:01:51 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H5V,35,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336275,5901007902054,8934076200000578283,359369090485620,,Active,Parked,9/7/2024 2:55:22 PM,9/1/2024 6:01:21 PM,9/1/2024 6:01:50 PM,"Lignito 112, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H5W,29 - U23436,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336278,5901007879165,8934076200000578275,359369090330016,,Active,Parked,9/7/2024 2:58:32 PM,9/1/2024 6:01:19 PM,9/1/2024 6:01:49 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H5Z,33 - 73289,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336237,5901007907916,8934076200000578820,359369090502424,,Active,Parked,9/7/2024 2:56:13 PM,9/1/2024 2:01:20 PM,9/1/2024 2:01:50 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H61,14,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336183,5901007887707,8934076200000579117,359369090469442,,Active,Parked,9/7/2024 3:01:27 PM,9/1/2024 6:01:19 PM,9/1/2024 6:01:50 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H63,24---73020,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336257,5901007906085,8934076200000578929,359369090469574,,Active,Parked,9/7/2024 2:59:11 PM,9/1/2024 2:01:27 PM,9/1/2024 2:01:50 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H67,30  - C73994,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336205,5901017325866,8934076200007157685,359369090340049,,Active,Parked,9/7/2024 2:57:45 PM,9/1/2024 6:01:20 PM,9/1/2024 6:01:49 PM,"Lignito 112, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H6C,17 - 732136,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336243,5901007856012,8934076200000578234,359369090318722,,Active,Parked,9/7/2024 3:00:40 PM,9/1/2024 9:30:08 AM,9/1/2024 9:30:18 AM,"Gaseros, Coahuila"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H6D,32 - 73303,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336252,5901007895992,8934076200000601010,359369090266566,,Active,Parked,9/7/2024 2:57:00 PM,9/1/2024 2:01:20 PM,9/1/2024 2:01:49 PM,"Lignito 113, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0H6S,36,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336010,5901007844426,8934076200000601028,359369090303989,,Active,Parked,9/7/2024 2:54:34 PM,9/1/2024 6:01:25 PM,9/1/2024 8:02:06 PM,"Lignito 112, Prol Ramos Arizpe, 26825 Nueva Rosita, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HI7,0HI7,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764336273,5901020052447,8934076200012929763,359369090340122,,Active,Travel Start,5/31/2024 4:56:35 PM,8/2/2024 4:00:53 PM,8/2/2024 4:01:15 PM,"Toledo 625, Reserva de Anahuac, Parque Industrial Barragán, 66425 San Nicolás de los Garza, N.L., Me"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HIA,S12BNML/ MONTERREY,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336267,,8934076200002526769,359369090489655,,Active,Drive,5/31/2024 5:50:55 PM,6/1/2024 12:21:22 PM,6/1/2024 12:21:34 PM,"Carr. Saltillo-Monterrey SN-I, Zona Industrial, 25901 Ramos Arizpe, Coah., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HII,TR 03 / 07AL5S,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336179,5901008500778,8934075200004650261,359369090503620,,Active,Parked,4/20/2024 12:55:14 PM,3/19/2024 5:46:16 PM,3/19/2024 5:46:29 PM,100 100 123-101 Eagle Pass Eagle Pass Eagle Pass
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HIR,23,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764336193,5901008516580,8934075200004650659,359369090495843,,Active,Travel Stop,4/4/2024 11:53:57 AM,4/29/2024 5:46:00 PM,4/29/2024 5:46:14 PM,"Av Benito Juarez-44, Carmen, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HU6,0HU6,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764339581,5901020276402,8934076400014744067,350877091466504,,Active,Idle - Stop,5/31/2024 6:09:41 PM,9/5/2024 8:45:54 PM,9/5/2024 8:46:16 PM,"Avenida Stiva Barragan, San Nicolás de los Garza, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HW6,YWD922-F/ JORGE CANU,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339510,5901012007273,0HW6,359369090936887,,Active,Ignition OFF,5/31/2024 4:46:09 PM,6/1/2024 12:15:43 PM,6/1/2024 12:21:24 PM,"Av. Maquiladoras, Industrias No Contaminantes 501, Sin Nombre de Col 27, 97302 Mérida, Yuc., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0HWE,C92BHT-MANTENIMIENTO,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339511,5901009825260,8934076200002539721,359369090939246,,Active,Parked,5/31/2024 6:48:41 PM,3/27/2024 11:48:15 PM,3/27/2024 11:48:46 PM,"Avenida Central, Netzahualcóyotl, México"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0I2T,SJK-845-A,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339137,5901008500110,8934075200004651533,358077091557047,,Active,Parked,7/3/2024 1:33:11 PM,7/5/2024 4:37:36 PM,7/5/2024 4:38:07 PM,"Jose J Gamboa, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0I8S,0I8S,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764339805,5901019684258,8934076500006276208,359369090917622,,Active,Parked,5/31/2024 6:39:54 PM,11/14/2024 1:51:03 PM,11/14/2024 1:51:33 PM,"Arteaga, Coahuila"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0I95,N23BMD/ JOSE AMBRIZ,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339659,5901005630441,8934071200001024969,359369090935947,,Active,Drive,5/31/2024 6:15:06 PM,6/1/2024 12:19:52 PM,6/1/2024 12:20:06 PM,"Via Principal, Garcia, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IV7,L3557/DISPONIBLE,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764330181,5901007880534,8934076200000589959,359369090384633,,Active,Parked,4/2/2024 3:33:23 PM,4/16/2024 12:30:27 AM,4/16/2024 12:30:36 AM,"Cedros, Naucalpan de Juárez, México"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IVK,W25BKJ/IVAN SERRATO,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764335699,5901012041249,8934076200002528567,359369090332616,,Active,Parked,4/18/2024 3:01:25 PM,4/18/2024 9:45:31 AM,4/18/2024 9:46:07 AM,879 Prolongación Petén
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IVL,0IVL,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764335610,5901005633556,8934071200001025305,359369090494432,,Active,Parked,5/31/2024 5:58:35 PM,5/30/2024 12:19:52 PM,5/30/2024 12:20:22 PM,140 Miguel Lerdo de Tejada
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IVN,0IVN,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764335673,00000000,00000000,359369090340072,,Active,Ignition OFF,5/31/2024 6:18:30 PM,5/15/2024 3:41:11 PM,5/15/2024 3:41:33 PM,897 Prolongación Petén
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IVR,YWD981-F/ ALONSO DAN,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764335602,5901009535219,8934071200001025180,359369090467438,,Active,Parked,5/31/2024 4:42:44 PM,6/1/2024 11:52:19 AM,6/1/2024 11:52:50 AM,"Torre Magnia Corporate Center, Calle 15 x 18 y 22, C. 22, Col. Altabrisa, 97130 Mérida, Yuc., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0IW4,0IW4,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,4764335710,5901012006966,8934076200002527429,359369090482791,,Active,Drive,5/31/2024 6:46:23 PM,5/30/2024 10:18:22 AM,5/30/2024 10:20:35 AM,"Anillo Periferico, Mexico City, Federal District"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0J5S,26,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764327317,5901005651260,8934071200000948846,358077091645586,,Active,Parked,4/15/2024 4:46:18 PM,5/19/2023 2:08:28 PM,5/19/2023 2:08:57 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0J67,27,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339683,5901009534707,8934071200000969867,359369090928470,,Active,Parked,4/25/2024 11:29:39 AM,4/29/2024 5:44:30 PM,4/29/2024 5:44:43 PM,"Calle Heliadoro Perez, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0J6R,445,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764327354,5901014932382,8934076200004336290,358077091596359,,Active,Idle Alert,5/16/2024 1:15:38 PM,11/14/2024 3:47:33 PM,11/14/2024 3:47:57 PM,"Av. Texas 360, parque industrial nacional, 65550 Ciénega de Flores, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0J7E,01,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764326891,5901012566560,8934071200001476896,358077091687414,,Active,Parked,4/4/2024 12:14:03 PM,4/29/2024 3:23:15 PM,4/29/2024 5:45:43 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0J7N,Retirar,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764332058,5901009542444,8934071200000951782,359369090298627,,Active,Parked,9/2/2024 7:28:52 AM,8/20/2024 12:03:52 AM,8/20/2024 12:04:11 AM,"Privada Coahuila, NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS 88250"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0KPJ,0KPJ,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363106349,5901021267018,8934072400008557586,358077091669958,,Active,Ignition ON,10/22/2024 1:02:20 PM,10/22/2024 8:33:49 PM,10/22/2024 11:56:53 PM,Gulf of Guinea
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0KPT,49,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363110502,5901012566473,8934071200001476599,359369090009859,,Active,Parked,4/5/2024 12:25:18 PM,4/29/2024 3:06:06 PM,4/29/2024 3:06:31 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0KQ4,RKC392B/ ALONSO REGI,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,1363110499,5901012566472,8934071200001476607,359369090085073,,Active,Drive,5/31/2024 5:54:07 PM,6/1/2024 12:20:18 PM,6/1/2024 12:20:39 PM,"Avenida Revolucion, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0KRG,REFACCIONES,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764346136,5901012009422,8934076200002521372,358077091100897,,Active,Parked,4/25/2024 11:46:48 AM,5/17/2024 2:29:57 PM,5/17/2024 2:30:27 PM,"C. Fortaleza 103f, 65776 Valle de Santa Elena, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS,UTS,,"Panic Button,",Professional,Client,0KRV,29,CalAmp 2630 - HSPA -LMU26H3001-G1000,MOVISTAR MX,29.99,,Mensual,11/18/2016 10:52:50 AM,11/18/2016 10:52:50 AM,4764339330,5901012004113,8934076200002527841,358077091460523,,Active,Parked,4/5/2024 12:23:54 PM,4/29/2024 5:15:29 PM,4/29/2024 5:15:49 PM,"Juárez 614, El Jaral, 66550 Carmen, N.L., Mexico"
