ID,Identifier,Model,Status,Category,Configuration,Created On,ESN,Firmware Version,IMEI,Script Identifier
3055278,4764401415,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:16 PM",4764401415,85f,354514101231373,7.38
4112354,4764256650,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:21 PM",4764256650,85f,357041065235734,7.38
3054667,4634379366,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:14 PM",4634379366,71a,351628093098310,7.38
3055238,4764401716,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764401716,85f,354514101190397,7.38
4110637,4764385495,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:17 PM",4764385495,85f,358077093191720,7.38
3055133,4764412750,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:15 PM",4764412750,85f,352556102520397,7.38
2830807,4764412771,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-12, 11:34 AM",4764412771,85f,352556102330359,7.38
3054265,4764171780,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-06-19, 12:13 PM",4764171780,85f,357041061805621,7.38
4109996,4764383642,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:16 PM",4764383642,74b,358077093316699,255.161
4111106,4764385073,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:18 PM",4764385073,85f,358077093349625,7.38
4112716,4764255358,LMU2630,Enabled,LMU,LMU2630_NoPEGBehavior,"2023-07-12, 1:22 PM",4764255358,85f,357041065212527,7.38
